feature,test,statistic,p_value,pd_mean,tbi_mean,pd_std,tbi_std
delta2_mfcc_13_std,t-test,-3.224555445018085,0.0014829553098390283,1.0047717557171385,1.070898342292846,0.18526582339096762,0.12322227238934344
rpvi,Mann-Whitney U,9225.0,0.0014913345470154433,177.3937749684586,153.5689569008449,58.890217868302535,41.40208003104004
mfcc_7_max,t-test,3.2089814346178107,0.0015285486651432972,27.29800588836359,21.798202844952254,14.30335863189978,12.103497870051218
delta_mfcc_11_median,t-test,3.173686969738309,0.00170461146944291,0.0009391712407644275,-0.01793939502259213,0.039187464285195504,0.053228426640110134
delta2_mfcc_13_min,Mann-Whitney U,9203.0,0.0017091713506824007,-3.59176053604386,-3.8673369793511454,0.7278456238500149,0.5910463483849147
intensity_db_std,t-test,-3.192264807193085,0.001714876358993841,8.44354396230309,9.27604408008781,2.5552863727186046,1.1530215370807035
delta_mfcc_13_std,t-test,-3.1627347359494085,0.001809207354972577,1.5915223587837424,1.7011194184771175,0.30892825818208297,0.21519798745301041
mfcc_9_std,Mann-Whitney U,5760.0,0.0020410640015650246,12.208573154320543,13.219374051643925,2.395229267133942,1.6652782864530207
delta2_mfcc_11_max,Mann-Whitney U,5778.0,0.002275801709017088,3.9631764407747614,4.255554723366728,0.8321327481464196,0.6685920632022876
mfcc_3_min,Mann-Whitney U,5780.0,0.002303356094220469,-103.84456186543858,-93.66861043221373,24.518815574385208,21.18413533708679
npvi,Mann-Whitney U,9152.0,0.002331215740349951,29.694637553549377,27.393882710403588,5.928716439745696,4.703487582226489
tonnetz_6_min,Mann-Whitney U,5794.0,0.0025049546454887508,-0.15657874982456144,-0.1482122314198473,0.027525144909430727,0.021278713061236198
tonnetz_4_median,Mann-Whitney U,5802.0,0.002627277212355023,-0.021185221200433715,-0.006905513969465649,0.06580792733074016,0.037172165841377364
mfcc_11_min,Mann-Whitney U,9116.0,0.0028884495330952853,-37.32730009664035,-41.86177326534351,13.260923317339246,8.700459932802648
num_pauses,Mann-Whitney U,5831.0,0.0030893973874478427,22.657894736842106,29.33587786259542,18.505963452010956,13.901293633592973
delta_mfcc_9_std,Mann-Whitney U,5835.0,0.003191732836737842,2.1604160323898514,2.3396408954980785,0.42606680140588654,0.28152203874888054
pause_duration_max,Mann-Whitney U,5836.5,0.0031961953326664475,0.9080701754385966,0.9345954198473282,1.1092690158213978,0.3690254294931583
formant_f1_mean,Mann-Whitney U,5884.0,0.004235294578283744,621.518552969356,644.8966411316635,112.1442523331664,53.08409955657521
delta2_mfcc_12_median,Mann-Whitney U,5916.0,0.005074764421245122,-0.0017998670135517712,0.00465151272519084,0.027601979495371978,0.02743451854655223
soft_phonation_index,t-test,2.781291956000974,0.0059314551073577125,15.827925013752289,14.663702599775188,3.7112103084934924,2.6330976542992173
delta_mfcc_4_median,t-test,2.7507886238290813,0.006398733324936428,0.019533335079860253,-0.019353003087388077,0.10862185846461457,0.11137908104480447
delta_mfcc_4_max,t-test,-2.754122627204815,0.006476637813227004,14.449481441332718,15.458921235907662,3.3703808600116774,2.0965071527040475
delta2_mfcc_4_min,Mann-Whitney U,8953.0,0.007257897406056251,-8.982564604078949,-9.622730935702291,2.1721008241125763,1.3638287198430563
delta_mfcc_13_mean,t-test,2.6910762103050354,0.007616894464477686,-0.000438452290658479,-0.002582868311033936,0.005720186373149365,0.00670115356019498
spectral_bandwidth_p2_min,Mann-Whitney U,5998.0,0.00795321346063125,572.0581349966209,598.8012816234439,117.88907953309524,72.1797544665432
tonnetz_3_min,t-test,2.6620651854423723,0.008452601309912117,-0.4984663035,-0.5329925846793893,0.11911493217285297,0.07446425112111736
spectral_decrease,Mann-Whitney U,8924.0,0.008479365588112336,0.022770368589431256,0.020035957351145037,0.0074441172202734445,0.002718665297060637
pause_to_speech_ratio,Mann-Whitney U,6023.5,0.009094583292446048,0.1808335086617173,0.23618640258877857,0.14992696310031794,0.13733949042204183
pause_fraction,Mann-Whitney U,6023.5,0.009094583292446048,0.1395754984858835,0.18356917563725075,0.10746202872242906,0.07079001278478805
tonnetz_5_min,t-test,-2.626888509830104,0.009282979267360606,-0.19894650514035084,-0.1841223663816794,0.0500061476226233,0.03554115722674392
mfcc_5_max,t-test,-2.625227694864632,0.009314466897391339,43.3430542161934,48.168281875645874,16.14237533166395,11.80696682965229
mfcc_8_std,Mann-Whitney U,6035.0,0.009676552533448195,13.273097330674377,14.19038124815586,2.761495482342867,2.1111625851530342
